,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.008329343795776368,0.0009018176422948941,0.004868793487548828,0.0003506950870073816,0.001,0.0,2,0.01,poly,"{'C': 0.001, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.15263157894736842,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.05371472158657513,0.04945842868039664,594
1,0.008027410507202149,0.0003726877782179656,0.004719829559326172,0.00025910304473540397,0.001,0.0,2,0.1,poly,"{'C': 0.001, 'coef0': 0, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.15263157894736842,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.05371472158657513,0.04945842868039664,594
2,0.007548141479492188,0.00015436805977001576,0.0044116020202636715,6.959382374203053e-05,0.001,0.0,2,1,poly,"{'C': 0.001, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",0.15263157894736842,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.05371472158657513,0.04945842868039664,594
3,0.004578208923339844,0.00013031660307524234,0.004132795333862305,0.0001442567093921131,0.001,0.0,2,10,poly,"{'C': 0.001, 'coef0': 0, 'degree': 2, 'gamma': 10, 'kernel': 'poly'}",0.9637761798778748,0.8176452784503632,0.8561507936507936,0.9355130249867092,0.8487886382623224,0.8843747830456128,0.0555616696458342,65
4,0.007439565658569336,0.00014990871466190393,0.0043430328369140625,8.54543541744513e-05,0.001,0.0,2,auto,poly,"{'C': 0.001, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.15263157894736842,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.05371472158657513,0.04945842868039664,594
5,0.0073473453521728516,0.0003181541708191373,0.004297447204589844,0.00013602112382375017,0.001,0.0,2,scale,poly,"{'C': 0.001, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.3929171332586786,0.35990920697971346,0.3486806596701649,0.3838522588522589,0.28720238095238093,0.3545123279426393,0.03722774298599505,473
6,0.007256746292114258,9.727735142021251e-05,0.004190587997436523,0.00012067283585176442,0.001,0.0,3,0.01,poly,"{'C': 0.001, 'coef0': 0, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.15263157894736842,0.15425531914893617,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.07876868396708701,0.060973852427351274,489
7,0.0075400352478027345,0.00016349128110206546,0.004454135894775391,0.0002189644330039645,0.001,0.0,3,0.1,poly,"{'C': 0.001, 'coef0': 0, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.15263157894736842,0.15425531914893617,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.07876868396708701,0.060973852427351274,489
8,0.0072196006774902345,0.00010393599750244275,0.004563760757446289,0.00016966603173578158,0.001,0.0,3,1,poly,"{'C': 0.001, 'coef0': 0, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",0.5908920187793427,0.42971554819110747,0.5251955821445007,0.383982683982684,0.2828396699086354,0.442525100601254,0.10764561011043003,464
9,0.003922796249389649,0.00011377844195532361,0.004002046585083008,6.330817381653706e-05,0.001,0.0,3,10,poly,"{'C': 0.001, 'coef0': 0, 'degree': 3, 'gamma': 10, 'kernel': 'poly'}",1.0,0.8176452784503632,0.8335858585858585,0.8964076858813701,0.8070324283559578,0.8709342502547098,0.0715889983141735,176
